15,6.08,0.1,1
15,6.56,0.11,1
18,6.26,0.13,1
17,6.29,0.15,1
15,6.22,0.13,1
17,6.06,0.13,1
15,6.87,0.12,1
16,6.24,0.13,1
17,6.05,0.14,1
13,6.18,0.08,1
15,6.28,0.21,1
18,6.31,0.12,1
16,6.62,0.12,1
16,6.17,0.14,1
15,6.92,0.14,1
18,5.88,0.21,2
16,6.47,0.18,2
16,6.74,0.17,2
16,6.86,0.13,2
17,6.36,0.2,2
20,6.63,0.16,2
16,7.08,0.23,2
19,6.33,0.22,2
19,6.55,0.16,2
18,6.42,0.17,2
16,6.8,0.21,2
21,6.67,0.2,2
15,6.29,0.19,2
16,6.23,0.17,2
18,6.26,0.2,2
24,6.48,0.22,3
24,6.48,0.22,3
18,6.99,0.23,3
17,6.29,0.21,3
25,6.62,0.22,3
17,5.8,0.21,3
23,6.57,0.18,3
23,6.6,0.21,3
20,7.19,0.22,3
18,6.13,0.23,3
21,6.86,0.2,3
21,5.85,0.24,3
22,6.82,0.21,3
22,5.86,0.22,3
19,6.7,0.21,3
